config_id,n,mean_probability,std_probability,detection_rate_050,mean_success,model_name,delta_vs_baseline,public_fpr_050
baseline_default_off,50,0.9953400411378867,0.0031373361059128,1.0,1.0,logistic,0.0,0.0038653567402158156
camouflaged_c2_p1,50,0.9964843984130991,0.0019231536341120733,1.0,1.0,logistic,0.0011443572752124487,0.0038653567402158156
default_c2_p1,50,0.9958219069795117,0.0019015518248671527,1.0,1.0,logistic,0.00048186584162501767,0.0038653567402158156
baseline_default_off,50,0.9621996666505405,0.029455298095622827,1.0,1.0,random_forest,0.0,0.0
camouflaged_c2_p1,50,0.6062666080476413,0.10175176170562135,1.0,1.0,random_forest,-0.35593305860289914,0.0
default_c2_p1,50,0.5803441025273977,0.0946710669656503,0.98,1.0,random_forest,-0.3818555641231428,0.0
baseline_default_off,50,0.9947494283251388,0.0022023077083083193,1.0,1.0,extra_trees,0.0,0.0
camouflaged_c2_p1,50,0.8405022174666095,0.021179383689784843,1.0,1.0,extra_trees,-0.15424721085852933,0.0
default_c2_p1,50,0.83858897534369,0.01654980664203667,1.0,1.0,extra_trees,-0.15616045298144876,0.0
baseline_default_off,50,0.9999651526750793,0.0,1.0,1.0,gradient_boosting,0.0,0.0
camouflaged_c2_p1,50,0.9996785941019458,0.0,1.0,1.0,gradient_boosting,-0.00028655857313353295,0.0
default_c2_p1,50,0.9996785941019458,0.0,1.0,1.0,gradient_boosting,-0.00028655857313353295,0.0
baseline_default_off,50,0.9566882480240823,0.013315309327819868,1.0,1.0,linear_svc_calibrated,0.0,0.002415847962634885
camouflaged_c2_p1,50,0.9567328153541594,0.02518813552687735,1.0,1.0,linear_svc_calibrated,4.4567330077183165e-05,0.002415847962634885
default_c2_p1,50,0.9470094546317587,0.025275733973932832,1.0,1.0,linear_svc_calibrated,-0.009678793392323581,0.002415847962634885
